"EXT","EST","AGR","CSN","OPN","count","Country"
-0.294117647058824,16.4117647058824,14.2941176470588,9.47058823529412,20.7058823529412,17,"AD"
0.312745098039216,19.256862745098,13.6339869281046,9.92745098039216,19.2013071895425,3060,"AE"
1.01851851851852,16.2592592592593,12.2222222222222,10.2407407407407,18.5,54,"AF"
-2.66666666666667,18.5,11.5416666666667,9.625,21.9166666666667,24,"AG"
-2.25,18.25,18.5,12.25,24.5,4,"AI"
-1.4243119266055,19.5275229357798,12.2912844036697,8.89449541284404,21.8509174311927,436,"AL"
-1.11926605504587,20.3853211009174,11.5688073394495,8.79816513761468,22.9174311926606,109,"AM"
-4.07142857142857,17.6428571428571,11.0714285714286,6.35714285714286,21.9285714285714,14,"AO"
0,23.5,12,7.5,21.5,2,"AQ"
-1.51370299553856,20.3065646908859,12.2517527087317,7.57934990439771,21.8626513702996,3138,"AR"
1.11111111111111,23.2222222222222,11.7777777777778,10.7777777777778,15.4444444444444,9,"AS"
-0.0794941282746161,17.8586269196025,12.7895212285456,8.38527551942186,22.5605239385727,2214,"AT"
0.00470323397584065,18.3339698108657,13.82135750608,9.5326512974092,20.3354169597813,49753,"AU"
-0.764705882352941,17.3529411764706,13,11.0294117647059,21.2647058823529,34,"AW"
-4.73333333333333,19.2,7.53333333333333,6.6,18.8666666666667,15,"AX"
-0.9,18.8,12.05,8.7125,20.9125,80,"AZ"
-1.52545454545455,19.0654545454545,11.3054545454545,8.54,21.7836363636364,550,"BA"
-3.27388535031847,17.0828025477707,13.4458598726115,9.84076433121019,19.7324840764331,157,"BB"
-3.32601880877743,19.7523510971787,12.1347962382445,7.94043887147335,18.1097178683386,319,"BD"
0.0272608125819135,18.4904325032765,13.6120576671035,7.97771952817824,21.062123197903,3815,"BE"
-4,21.5,11,7,23,2,"BF"
-1.08339889850511,19.1463414634146,11.6475216365067,8.3375295043273,22.2557041699449,1271,"BG"
-1.17391304347826,21.0869565217391,12.6473429951691,9.15942028985507,19.695652173913,207,"BH"
9,15,21,12,26,1,"BI"
2,11.5,17,7,23.5,2,"BJ"
0.157894736842105,18.6491228070175,13.5614035087719,9.85964912280702,20.5614035087719,57,"BM"
-2.87854251012146,20.4898785425101,11.8218623481781,8.22267206477733,17.5465587044534,247,"BN"
-1.02739726027397,20.7013698630137,10.9260273972603,6.05753424657534,20.7013698630137,365,"BO"
-7.5,21,1.5,14.5,8.5,2,"BQ"
-3.34657907386637,19.4520108956898,10.8535491107194,7.14869411953213,22.2981893927255,6241,"BR"
-1.17482517482517,16.2377622377622,13.6923076923077,11.8041958041958,20.5734265734266,143,"BS"
-4.5,18,9.42857142857143,5,15.6428571428571,14,"BT"
-1.55660377358491,18.1320754716981,14.4716981132075,11.3018867924528,20.9433962264151,106,"BW"
-1.87349397590361,19.1626506024096,9.92771084337349,7.46987951807229,21.6626506024096,166,"BY"
-3.91447368421053,21.125,12.1381578947368,8.88815789473684,18.9342105263158,152,"BZ"
-0.390842164873392,18.5926219561524,13.7514440579241,9.63093600841356,20.9757462988431,61805,"CA"
8,14,15.6666666666667,13,19.3333333333333,3,"CD"
-2.33333333333333,22.3333333333333,11.3333333333333,6,23.3333333333333,3,"CG"
0.352130727330984,17.4729253444409,13.4847805190644,9.21179109259853,22.1505927587312,3121,"CH"
-2.15384615384615,16,11.0769230769231,10.4615384615385,21.9230769230769,13,"CI"
2,22.375,12.375,8.25,22.125,8,"CK"
-1.20798898071625,19.7112029384757,12.8269054178145,7.64830119375574,21.7038567493113,2178,"CL"
-0.818181818181818,16.0606060606061,16.4545454545455,11.7878787878788,20.4242424242424,33,"CM"
0.257462686567164,17.4783582089552,13.2544776119403,9.10373134328358,17.9029850746269,1340,"CN"
-0.744906502930505,19.7973765001395,11.6952274630198,7.77839799051075,20.5989394362266,3583,"CO"
-1.14860681114551,18.9783281733746,11.828173374613,8.47058823529412,21.3931888544892,646,"CR"
2.70833333333333,15,16.2083333333333,11.7916666666667,23.375,24,"CU"
0.272727272727273,14.8181818181818,9.90909090909091,8,20.5454545454545,11,"CV"
0.56,17.06,12.86,10.32,20.82,50,"CW"
0.409677419354839,19.2354838709677,13.2903225806452,9.29354838709677,20.9387096774194,310,"CY"
-1.4044776119403,19.2064676616915,11.4562189054726,7.62686567164179,21.5278606965174,2010,"CZ"
-1.2580232888384,18.0739846634479,12.1637318943482,8.209102527691,22.8959812553252,14084,"DE"
-6,18,16,3.5,25,2,"DJ"
0.936556989638248,18.3557534993638,13.5593528449373,8.42410470823487,21.4242864933648,5501,"DK"
0.769230769230769,16.9230769230769,15.8461538461538,11.1538461538462,22.8461538461538,13,"DM"
-1.21848739495798,19.1036414565826,12.296918767507,8.7843137254902,21.3417366946779,357,"DO"
-3.7489539748954,21.234309623431,10.7029288702929,7.61506276150628,21.581589958159,239,"DZ"
-0.699472759226713,19.579086115993,11.213532513181,7.65026362038664,19.9973637961336,1138,"EC"
-1.56274509803922,18.2343137254902,11.7598039215686,8.19411764705882,20.7480392156863,1020,"EE"
-1.34075508228461,20.8867376573088,12.78509196515,8.76282671829622,19.4288480154889,1033,"EG"
0.197039407881576,18.2866573314663,13.3554710942188,8.35867173434687,21.748549709942,4999,"ES"
1.34296028880866,14.5487364620939,15.2310469314079,11.8808664259928,19.2924187725632,277,"ET"
-1.94859382203781,19.0269709543568,11.0988934993084,7.63900414937759,21.5299677270632,4338,"FI"
-2.07407407407407,17.7037037037037,14.7592592592593,10.8148148148148,19.9444444444444,54,"FJ"
-10,7,8,7,14,1,"FK"
-2.4,25.4,11.2,6,20.8,5,"FM"
-1.77551020408163,19.6734693877551,11.8367346938776,7.48979591836735,19.7142857142857,49,"FO"
-1.14218241042345,19.2631921824104,12.8802931596091,7.93485342019544,22.6605863192182,6140,"FR"
2.5,10.25,16.25,6.5,23.25,4,"GA"
-0.240633507302179,19.6104802442583,13.0379021462842,8.45864605110773,21.0146193992811,66487,"GB"
-0.75,16.9166666666667,12.9166666666667,12.2916666666667,22.25,24,"GD"
-1.05571030640669,19.9359331476323,10.6239554317549,8.27576601671309,21.5041782729805,359,"GE"
-3,22.5,14,11,22.5,2,"GF"
-1.02222222222222,22.0444444444444,14.6888888888889,8.53333333333333,21.6888888888889,45,"GG"
-3.15441176470588,16.4889705882353,14.6433823529412,12.9227941176471,19.3639705882353,272,"GH"
-0.740740740740741,16.4074074074074,12.7037037037037,10.5555555555556,21,27,"GI"
2.38235294117647,18.1470588235294,11.9411764705882,8.14705882352941,20.2058823529412,34,"GL"
0.7,19.8,12.4,11.2,17.3,10,"GM"
-12,17,20,8,23,1,"GN"
-1.75,21.25,11,6.5,16.75,4,"GP"
-4,11,22,-9,29,1,"GQ"
-0.990047770700637,20.8706210191083,12.4944267515924,8.58359872611465,21.6182324840764,2512,"GR"
-0.514150943396226,19.6674528301887,11.3608490566038,8.55896226415094,21.4929245283019,424,"GT"
-3.2436974789916,18.4705882352941,13.0336134453782,8.84033613445378,19.327731092437,119,"GU"
-4.54347826086957,16.0217391304348,14.9782608695652,11.304347826087,21.8913043478261,46,"GY"
-0.547406581148912,18.9537088678193,12.7331288343558,8.88706079196877,17.5694366982711,3586,"HK"
-1.03125,19.5223214285714,11.8705357142857,7.66071428571429,21.8258928571429,224,"HN"
-0.850713012477718,18.4532085561497,11.7058823529412,8.43003565062389,21.7687165775401,2244,"HR"
-2.2,16.6666666666667,14.8666666666667,7.8,20.6666666666667,15,"HT"
-1.48539176626826,19.0889774236388,11.6387782204515,7.90305444887118,22.5059760956175,1506,"HU"
-1.89798119895207,19.4809677916474,11.6990291262136,8.78825705039297,18.8167668361843,6489,"ID"
0.0282914201183432,19.1116863905325,13.518676035503,8.58968195266272,21.301775147929,5408,"IE"
0.053109713487072,18.1041229909154,12.9482879105521,9.18378756114605,22.8881900768693,1431,"IL"
-1.93333333333333,19.3166666666667,12.8166666666667,7.95,20.8166666666667,60,"IM"
0.217252030660108,18.5858597414483,13.0887770278,9.79704839263242,19.0115547420204,17482,"IN"
-3.24731182795699,20.2365591397849,10.3870967741935,8.75268817204301,21.5483870967742,93,"IQ"
-0.867132867132867,19.2797202797203,11.8857808857809,9.14918414918415,20.1305361305361,429,"IR"
0.313725490196078,18.4722222222222,13.5996732026144,8.46241830065359,21.0718954248366,612,"IS"
-0.870227571939063,19.9266503667482,12.6768854617265,8.71807410193718,21.9151777318036,5317,"IT"
-2.0952380952381,22.4761904761905,12.3809523809524,6.77777777777778,21.9047619047619,63,"JE"
-2.857421875,17.580078125,13.50390625,11.025390625,19.884765625,512,"JM"
